Unnamed: 0,Unnamed: 0.1,label,text,annotation_1,annotation_2,annotation_3,majority_vote,human_rationales
0,54212,0,“ ضعيف جداا ” . لم يعجبني شيئ قديم جداا والصور غير الحقيقة . لا شيئ,"['قديم', 'جداا', 'والصور', 'غير', 'الحقيقة']","['قديم', 'جداا']","['ضعيف', 'جدا', 'شيئ', 'قديم', 'جدا']","['قديم', 'جداا']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,51572,0,“ سيء جدا ” . إهمال عدم راحة . تسببو بخدش سيارتي . كل شي,"['إهمال', 'عدم', 'راحة', '.', 'تسببو', 'بخدش', 'سيارتي']",['إهمال'],"['سيء', 'جدا', 'إهمال', 'عدم', 'راحة', 'خدش', 'سيارتي']","['راحة', 'عدم', 'سيارتي', 'إهمال']","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,8947,0,“ واي فاي ليس مجانا مع اننا دافعين بدل رسوم والاشتراك ” . قربه من الشط . نظافة الغرفه العفش قديم جدا سجاد الغرفه له رائحه,"['ظافة', 'الغرفه', 'العفش', 'قديم', 'جدا', 'سجاد', 'الغرفه', 'له', 'رائحه']","['واي', 'فاي', 'ليس', 'مجانا']","['واي', 'فاي', 'ليس', 'مجانا', 'العفش', 'قديم', 'سجاد', 'الغرفه', 'له', 'رائحه']","['قديم', 'العفش', 'سجاد', 'رائحه', 'له', 'الغرفه', 'واي', 'فاي', 'مجانا', 'ليس']","[0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]"
3,23718,0,مخيب للأمل . . رائحة العرفه كريهه والاثااث جداا وصخ,"['رائحة', 'العرفه', 'كريهه', 'والاثااث', 'جداا', 'وصخ']","['مخيب', 'للأمل']","['مخيب', 'للأمل', 'رائحة', 'العرفه', 'كريهه', 'وصخ']","['وصخ', 'كريهه', 'العرفه', 'رائحة', 'للأمل', 'مخيب']","[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,40924,0,ضعيف جدا . ما فيه أي شي حلو . كل شي بايخ . لا استقبال محترم ولا غرف نظيفة والروائح في كل مكان . التكييف تعبان والراي فاي يقطع .,"['لا', 'استقبال', 'محترم', 'ولا', 'غرف', 'نظيفة', 'والروائح', 'في', 'كل', 'مكان', '.', 'التكييف', 'تعبان', 'والراي', 'فاي', 'يقطع']","['ضعيف', 'جدا']","['ضعيف', 'جدا', 'كل', 'شي', 'بايخ', 'التكييف', 'تعبان']","['كل', 'تعبان', 'التكييف', 'جدا', 'ضعيف']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
5,43155,0,“ لا انصح احد ” . لايوجد شي اعجبني . المعاملة ، المكان غير نظيف ، والخدمة سيئة للغاية,"['المعاملة', '،', 'المكان', 'غير', 'نظيف', '،', 'والخدمة', 'سيئة', 'للغاية']","['لا', 'انصح', 'احد']","['لايوجد', 'شي', 'اعجبني', 'المكان', 'غير', 'نظيف', 'الخدمة', 'سيئة', 'للغاية']","['للغاية', 'المكان', 'سيئة', 'نظيف', 'غير']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
6,39682,0,“ تجربة لن تتكرر ” . . كل شي الواي فاي ضعيف الاثاث سيئ المرافق كل شي سيئ لاانصح بة والاهم من كل شي الموقع البعيد عن كل شي,"['الواي', 'فاي', 'ضعيف', 'الاثاث', 'سيئ', 'المرافق', 'الموقع', 'البعيد', 'عن', 'كل', 'شي']",['سيئ'],"['تجربة', 'لن', 'تتكرر', 'الواي', 'فاي', 'ضعيف', 'الاثاث', 'سيئ', 'كل', 'شي', 'سيئ', 'لاانصح', 'الموقع', 'البعيد', 'عن', 'كل', 'شي']","['كل', 'البعيد', 'فاي', 'الموقع', 'عن', 'شي', 'الاثاث', 'ضعيف', 'الواي', 'سيئ']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0]"
7,31682,0,“ خدمات الفندق وتعامل موظفي الاستقبال سي جدا ” . . تقعد ساعة اذا جيت تدخل اول مره واذا جيت تشيك اوت تقعد ساعة رسوم الليلة السياحة غالي جدا حجزت وكتب شرط دخولي الساعة 5 او 4 الفجر ع وقت وصولي ودفعوني 300 درهم وقلت له اغلي حجزي رفض اذا متدخلني الساعة 5 رفض التلفون كل يوم يدق على الظهر ازعاج لايوجد راحة ابدا انصح بعدم النزول له ،,"['تقعد', 'ساعة', 'اذا', 'جيت', 'تدخل', 'اول', 'مره', 'واذا', 'جيت', 'تشيك', 'اوت', 'تقعد', 'ساعة', 'رسوم', 'الليلة', 'السياحة', 'غالي', 'جدا']","['الاستقبال', 'سي', 'جدا']","['تعامل', 'موظفي', 'الاستقبال', 'سي', 'جدا', 'رسوم', 'الليلة', 'السياحة', 'غالي', 'جدا', 'ازعاج', 'لايوجد', 'راحة']","['رسوم', 'غالي', 'الليلة', 'السياحة', 'جدا', 'الاستقبال', 'سي']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,65470,0,“ صراصير في المطبخ و الغرفة ! ! ” . طاقم الاستقبال . النت ضعيفالمواقف ضيقة و أغلبية الأحيان تضطر لوضع السيارة في الشارعالنضافة و الغرفة فيها صراصير ! !,"['النت', 'ضعيفالمواقف', 'ضيقة', 'الغرفة', 'فيها', 'صراصير']","['الغرفة', 'فيها', 'صراصير']","['النت', 'ضعيف', 'المواقف', 'ضيقة']","['النت', 'فيها', 'الغرفة', 'صراصير', 'ضيقة']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
9,14446,0,مخيب للأمل . التنسيق مع طاقم العملوربما بعض الخدمات القريبة المتوفرة 24 ساعة . النت ليس مجاني ومكلف ( 40 درهم في اليوم ) أحيانا لا يتم الرد على الاتصال عند طلب خدمة,"['النت', 'ليس', 'مجاني', 'أحيانا', 'لا', 'يتم', 'الرد', 'على', 'الاتصال', 'عند', 'طلب', 'خدمة']","['النت', 'ليس', 'مجاني']","['مخيب', 'للأمل', 'النت', 'ليس', 'مجاني', 'و', 'مكلف', 'لا', 'يتم', 'الرد', 'على', 'الاتصال']","['النت', 'الاتصال', 'مجاني', 'لا', 'على', 'يتم', 'الرد', 'ليس']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
